Avg_Delta,Mean_Error,Accuracy
0.007759880454184638,0.5004042774493862,49.95957225506138
0.025452714876829576,0.48969035158265584,51.030964841734416
0.03817639450157238,0.49437351673554997,50.562648326445
0.04986379280419132,0.5166208190420656,48.33791809579344
0.06284837108762327,0.5028753244172965,49.71246755827035
0.08734786728387361,0.46977518511523364,53.022481488476636
0.11537334285406102,0.5069812409109877,49.30187590890122
0.12358462829117825,0.47293279992688697,52.706720007311304
0.13621014655712416,0.462094040625135,53.79059593748649
0.16852404709490637,0.42396835916199294,57.603164083800706
0.17812720132105128,0.5019436323788492,49.80563676211508
0.18839908512970338,0.6072094471543454,39.27905528456546
0.20853477834196665,0.4613169934081204,53.86830065918796
0.20871329805450997,0.5653659826001612,43.46340173998387
0.20147597207606127,0.40334762184242196,59.66523781575781
