Layers,Mean_Error,Std_Error,Accuracy
1,0.7773799520503001,0.04748126521174634,22.262004794969993
2,0.5706530488487802,0.010162955106468525,42.93469511512198
3,0.4992888569851548,0.040842742049123734,50.07111430148452
4,0.4358734942518872,0.02173447557641174,56.41265057481129
5,0.3878156493403218,0.02595990734117286,61.218435065967824
